GEO.id,GEO.id2,GEO.display-label,HC01_VC114,HC02_VC114
Id,Id2,Geography,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars)
1400000US06075012602,6075012602,"Census Tract 126.02, San Francisco County, California",244728,36612
1400000US06075012700,6075012700,"Census Tract 127, San Francisco County, California",164130,38436
1400000US06075012800,6075012800,"Census Tract 128, San Francisco County, California","250,000+",***
1400000US06075012901,6075012901,"Census Tract 129.01, San Francisco County, California",228269,47585
1400000US06075012902,6075012902,"Census Tract 129.02, San Francisco County, California",131250,31007
1400000US06075013000,6075013000,"Census Tract 130, San Francisco County, California",169583,17565
1400000US06075013101,6075013101,"Census Tract 131.01, San Francisco County, California",207463,49906
1400000US06075013102,6075013102,"Census Tract 131.02, San Francisco County, California",145227,23814
1400000US06075013200,6075013200,"Census Tract 132, San Francisco County, California","250,000+",***
1400000US06075013300,6075013300,"Census Tract 133, San Francisco County, California",241154,49957
1400000US06075013400,6075013400,"Census Tract 134, San Francisco County, California",222321,52628
1400000US06075013500,6075013500,"Census Tract 135, San Francisco County, California",171719,73905
1400000US06075015100,6075015100,"Census Tract 151, San Francisco County, California",119205,30222
1400000US06075015200,6075015200,"Census Tract 152, San Francisco County, California",134650,40478
1400000US06075015300,6075015300,"Census Tract 153, San Francisco County, California",151250,65631
1400000US06075015400,6075015400,"Census Tract 154, San Francisco County, California",156563,40880
1400000US06075015500,6075015500,"Census Tract 155, San Francisco County, California",76250,38688
1400000US06075015600,6075015600,"Census Tract 156, San Francisco County, California",82284,9973
1400000US06075015700,6075015700,"Census Tract 157, San Francisco County, California",122269,51867
1400000US06075015801,6075015801,"Census Tract 158.01, San Francisco County, California",61618,40363
1400000US06075015802,6075015802,"Census Tract 158.02, San Francisco County, California",158125,45551
1400000US06075015900,6075015900,"Census Tract 159, San Francisco County, California",76000,43849
1400000US06075016000,6075016000,"Census Tract 160, San Francisco County, California",71538,36609
1400000US06075016100,6075016100,"Census Tract 161, San Francisco County, California",24836,7279
1400000US06075016200,6075016200,"Census Tract 162, San Francisco County, California",198333,72464
1400000US06075016300,6075016300,"Census Tract 163, San Francisco County, California",137969,23394
1400000US06075016400,6075016400,"Census Tract 164, San Francisco County, California",128250,49337
1400000US06075016500,6075016500,"Census Tract 165, San Francisco County, California",123139,61376
1400000US06075016600,6075016600,"Census Tract 166, San Francisco County, California",137634,16690
1400000US06075016700,6075016700,"Census Tract 167, San Francisco County, California",198370,27279
1400000US06075016801,6075016801,"Census Tract 168.01, San Francisco County, California",136908,32733
1400000US06075016802,6075016802,"Census Tract 168.02, San Francisco County, California",92589,64168
1400000US06075016900,6075016900,"Census Tract 169, San Francisco County, California",148906,38162
1400000US06075017000,6075017000,"Census Tract 170, San Francisco County, California",193750,88222
1400000US06075017101,6075017101,"Census Tract 171.01, San Francisco County, California",185625,28263
1400000US06075017102,6075017102,"Census Tract 171.02, San Francisco County, California",170000,39765
1400000US06075017601,6075017601,"Census Tract 176.01, San Francisco County, California",53136,12950
1400000US06075017700,6075017700,"Census Tract 177, San Francisco County, California",106838,49284
1400000US06075017801,6075017801,"Census Tract 178.01, San Francisco County, California",-,**
1400000US06075017802,6075017802,"Census Tract 178.02, San Francisco County, California",64453,54984
