,Category,Tract,Score_exog,Score_no_exog,Census_better
160,Graffiti,180.0,3.12416195751,2.95662521243,False
161,Graffiti,201.0,10.0295609687,7.0537111465,False
162,Graffiti,202.0,5.4333001756,5.14810930902,False
163,Graffiti,207.0,9.01232445718,8.74163998256,False
164,Graffiti,208.0,21.6975250545,12.5173148288,False
165,Graffiti,209.0,10.1150468725,10.1150468722,False
166,Graffiti,210.0,4.37196519781,4.30350616074,False
167,Graffiti,226.0,5.33860969402,4.82816064529,False
168,Graffiti,228.01,4.69683932668,7.33666787356,True
169,Graffiti,228.03,5.49091899227,5.24333848192,False
170,Graffiti,229.01,5.51020287955,6.40401954481,True
171,Graffiti,251.0,1.35206329157,0.979064010739,False
172,Graffiti,252.0,3.19875575318,0.557076148291,False
173,Graffiti,257.02,2.54940922764,3.34389890717,True
174,Graffiti,260.01,2.90393766254,3.04016710008,True
175,Graffiti,301.01,3.85888820626,3.14231377705,False
176,Graffiti,301.02,1.51776072575,1.34309330013,False
177,Graffiti,302.01,3.80285340102,4.616005936,True
178,Graffiti,305.0,0.769230769231,0.753743900769,False
179,Graffiti,306.0,1.00981608756,0.612859207441,False
180,Graffiti,326.01,13.8380641489,13.8380641481,False
181,Graffiti,327.0,5.68619524926,6.03847976463,True
182,Graffiti,351.0,9.74751849294,8.58136143319,False
183,Graffiti,354.0,1.52588159742,1.49560932826,False
184,Graffiti,611.0,7.68740941586,7.68740941572,False
185,Graffiti,615.0,3.10600524162,3.07206556917,False
186,Graffiti,9809.0,2.79798458409,2.01757274914,False
187,Abandoned Vehicle,102.0,0.988207787577,0.895044522696,False
188,Abandoned Vehicle,167.0,0.771277165547,0.757088781382,False
189,Abandoned Vehicle,170.0,2.71941263891,2.70287292217,False
190,Abandoned Vehicle,171.01,3.87548623254,3.55875546879,False
191,Abandoned Vehicle,204.02,1.99626034795,1.97891667474,False
192,Abandoned Vehicle,212.0,2.63463542506,3.16598600914,True
193,Abandoned Vehicle,213.0,1.64406244406,1.67365501348,True
194,Abandoned Vehicle,214.0,1.3114365377,1.29316775052,False
195,Abandoned Vehicle,231.02,3.04491612338,3.04491614867,False
196,Abandoned Vehicle,232.0,2.63699459116,2.68197634495,True
197,Abandoned Vehicle,251.0,2.33175180568,2.37329240548,True
198,Abandoned Vehicle,252.0,4.40396239783,5.62347612023,True
199,Abandoned Vehicle,253.0,4.0965861489,3.61047027586,False
200,Abandoned Vehicle,254.02,0.757296487926,0.825508239202,True
201,Abandoned Vehicle,256.0,1.78403473613,2.40740168719,True
202,Abandoned Vehicle,260.02,1.08766617901,0.892293175454,False
203,Abandoned Vehicle,260.03,1.59060234942,1.49071938638,False
204,Abandoned Vehicle,262.0,1.39641140721,1.53034243459,True
205,Abandoned Vehicle,301.02,2.42652468925,2.29690793596,False
206,Abandoned Vehicle,302.01,0.937150091374,1.31675306467,True
207,Abandoned Vehicle,303.02,2.9017719176,2.87667034439,False
208,Abandoned Vehicle,307.0,4.79904408705,4.64161087597,False
209,Abandoned Vehicle,308.0,1.38655955369,1.40123210046,True
